ID;Exist in 500k;Time in Array 500;Time in ListFirst 500;Time in list last 500;Exist in 1M;Time in Array 1M;Time in ListFirst 1M;Time in list last 1M;Exist in 3M;Time in Array 3M;Time in ListFirst 3M;Time in list last 3M 
83329708;false;0;0;0;false;0;31;29;false;50;154;156
56543900;false;0;0;0;false;0;22;28;false;51;150;157
48917618;false;0;0;0;false;0;31;29;false;51;151;157
36451849;false;0;0;0;true;0;0;28;false;51;0;158
62362056;false;0;0;0;false;0;47;29;false;51;151;157
18742794;false;0;0;0;false;0;22;28;false;52;151;157
7262774;false;0;0;0;false;0;31;29;false;51;152;158
1334270;false;0;0;0;false;0;32;28;false;51;152;158
10049578;false;0;0;0;true;0;0;28;false;51;0;156
13200094;false;0;0;0;true;0;0;29;false;51;0;158
6413182;false;0;0;0;true;0;0;29;false;50;0;156
7742527;false;0;0;0;false;0;37;28;false;49;152;157
84139767;false;0;0;0;false;0;31;29;false;50;151;158
5002526;false;0;0;0;true;0;0;28;false;50;0;159
16610410;false;0;0;0;true;0;0;28;false;51;0;157
64170908;false;0;0;0;false;0;32;28;false;50;151;158
55275906;false;0;0;0;false;0;37;29;false;50;152;158
14090621;false;0;0;0;true;0;0;28;false;51;0;157
89830665;false;0;0;0;false;0;32;29;false;52;151;157
62880889;false;0;0;0;false;0;31;28;false;51;151;159
50004009;false;0;0;0;true;0;0;29;false;50;0;157
19335520;false;0;0;0;false;0;37;29;false;51;152;158
22987368;false;0;0;0;false;0;33;28;false;50;151;157
36904090;false;0;0;0;false;0;32;29;false;50;150;158
34407366;false;0;0;0;true;0;0;28;false;50;0;157
7835922;false;0;0;0;false;0;32;29;false;50;151;160
84843591;false;0;0;0;true;0;1;28;false;50;0;157
58649612;false;0;0;0;true;0;0;28;false;52;0;156
70270490;false;0;0;0;false;0;32;29;false;50;150;159
80871109;false;0;0;0;false;0;32;29;false;50;151;157
3310591;false;0;0;0;false;0;32;28;false;51;154;157
55704444;false;0;0;0;true;0;1;28;false;51;0;157
29784436;false;0;0;0;false;0;33;29;false;51;152;158
10878775;false;0;0;0;true;0;0;28;false;51;0;158
10354976;false;0;0;0;true;0;0;29;false;51;0;156
15358027;false;0;0;0;true;0;0;28;false;49;0;157
95822268;false;0;0;0;false;0;32;29;false;50;150;159
26642277;false;0;0;0;false;0;32;28;false;54;151;157
97153811;false;0;0;0;false;0;33;29;false;51;151;159
34266207;false;0;0;0;true;0;0;28;true;35;0;100
16823417;false;0;0;0;false;0;33;28;false;50;150;157
85108987;false;0;0;0;true;0;0;29;false;50;0;157
73857869;false;0;0;0;false;0;29;29;true;40;35;121
13406201;false;0;0;0;false;0;31;28;false;51;152;157
47955059;false;0;0;0;true;0;0;29;false;51;0;158
54368364;false;0;0;0;false;0;37;29;false;50;151;158
18775187;false;0;0;0;true;0;0;28;false;50;1;157
29935209;false;0;0;0;false;0;24;28;false;50;151;158
17956013;false;0;0;0;false;0;36;29;false;50;151;158
29953929;false;0;0;0;false;0;31;29;false;50;151;157
88903762;false;0;0;0;false;0;25;28;false;49;150;157
4907860;false;0;0;0;false;0;32;29;false;50;151;158
57007811;false;0;0;0;false;0;31;28;false;50;152;158
1744954;false;0;0;0;false;0;46;29;false;50;152;158
38835518;false;0;0;0;true;0;0;28;false;50;0;157
24585346;false;0;0;0;false;0;32;29;false;49;150;157
96683657;false;0;0;0;false;0;33;28;false;50;151;158
21219985;false;0;0;0;false;0;32;29;false;51;150;158
86243129;false;0;0;0;false;0;32;28;false;51;151;158
76291931;false;0;0;0;true;0;0;29;false;50;0;157
58618260;false;0;0;0;true;0;0;28;false;50;0;159
58688028;false;0;0;0;true;0;1;28;false;51;0;158
47863304;false;0;0;0;false;0;32;29;false;51;152;157
34466858;false;0;0;0;true;0;0;28;false;51;0;157
5030153;false;0;0;0;true;0;1;28;false;51;0;159
46779566;false;0;0;0;true;0;0;29;false;51;0;158
18710549;false;0;0;0;true;0;1;28;false;51;0;157
89011308;false;0;0;0;false;0;32;28;false;51;152;158
30919396;false;0;0;0;true;0;0;29;false;50;0;157
26174311;false;0;0;0;false;0;33;29;false;50;151;158
81495770;false;0;0;0;true;0;0;28;false;51;0;158
8542493;false;0;0;0;false;0;32;29;false;51;150;158
65452590;false;0;0;0;true;0;1;28;false;51;1;157
10929960;false;0;0;0;true;0;0;28;false;52;0;156
9109801;false;0;0;0;false;0;33;28;false;51;150;156
75178916;false;0;0;0;false;0;32;29;false;51;152;158
26680714;false;0;0;0;true;0;1;28;false;51;0;157
62101054;false;0;0;0;false;0;32;28;false;51;152;158
3158360;false;0;0;0;false;0;32;29;false;52;154;157
74241426;false;0;0;0;true;0;0;29;false;51;0;157
91816727;false;0;0;0;true;0;1;28;false;51;1;158
11498821;false;0;0;0;false;0;37;28;true;26;79;76
32387310;false;0;0;0;true;0;1;28;false;51;0;157
29862845;false;0;0;0;false;0;32;29;false;51;150;157
61021183;false;0;0;0;false;0;31;29;false;52;153;159
89774786;false;0;0;0;true;0;1;28;false;50;0;157
63306497;false;0;0;0;true;0;0;28;false;51;0;157
85161819;false;0;0;0;false;0;32;29;true;51;1;158
11548630;false;0;0;0;true;0;1;28;false;51;0;156
55336255;false;0;0;0;false;0;33;28;false;51;150;158
13505845;false;0;0;0;true;0;0;28;false;51;1;158
40772224;false;0;0;0;false;0;32;29;false;51;157;157
92915179;false;0;0;0;false;0;32;29;false;51;163;160
45746092;false;0;0;0;false;0;33;28;false;52;165;158
26274572;false;0;0;0;false;0;33;29;false;51;163;157
40664171;false;0;0;0;false;0;32;29;false;51;159;158
66760642;false;0;0;0;false;0;33;28;false;51;151;158
87558443;false;0;0;0;false;0;33;29;false;53;150;160
82955931;false;0;0;0;false;0;32;28;false;51;151;157
32671224;false;0;0;0;false;0;30;29;false;51;150;158
97402986;false;0;0;0;false;0;30;28;false;51;151;157
76088368;false;0;0;0;false;0;29;29;false;51;150;158
41990300;false;0;0;0;false;0;32;28;false;49;151;160
67579641;false;0;0;0;false;0;32;29;false;53;153;158
86371323;false;0;0;0;true;0;0;28;false;49;0;157
87986243;false;0;0;0;false;0;34;29;false;50;154;157
81427710;false;0;0;0;false;0;34;29;false;51;151;158
58416137;false;0;0;0;true;0;1;28;true;38;0;113
96910351;false;0;0;0;true;0;0;28;false;51;0;156
41328860;false;0;0;0;true;0;0;28;false;51;0;157
19461636;false;0;0;0;false;0;32;29;false;51;152;158
48109037;false;0;0;0;true;0;0;28;false;50;0;157
38736108;false;0;0;0;false;0;32;28;false;50;151;158
79063976;false;0;0;0;false;0;29;29;false;50;151;157
151111;false;0;0;0;false;0;27;29;false;50;151;157
62957395;false;0;0;0;false;0;28;29;false;52;152;158
76012891;false;0;0;0;true;0;1;28;false;51;0;158
36620997;false;0;0;0;false;0;28;28;false;52;152;157
64072301;false;0;0;0;true;0;1;28;false;50;0;157
51604479;false;0;0;0;false;0;29;29;false;51;153;155
37451674;false;0;0;0;false;0;29;29;false;50;157;158
47275890;false;0;0;0;false;0;28;28;false;51;151;157
58458360;false;0;0;0;false;0;29;29;false;51;150;157
83028517;false;0;0;0;false;0;29;29;false;51;152;158
96874214;false;0;0;0;true;0;1;28;false;50;0;157
56845056;false;0;0;0;true;0;0;28;false;51;0;158
33806206;false;0;0;0;false;0;30;29;false;51;153;157
5190978;false;0;0;0;false;0;30;28;false;51;150;157
91367097;false;0;0;0;false;0;28;29;false;50;151;158
48566166;false;0;0;0;false;0;29;28;false;50;152;157
79907475;false;0;0;0;false;0;29;29;false;51;151;155
45521070;false;0;0;0;false;0;28;28;false;50;151;154
42977016;false;0;0;0;true;0;1;28;false;51;0;157
33749124;false;0;0;0;false;0;30;29;false;52;150;158
907361;false;0;0;0;true;0;0;28;false;50;1;156
86268808;false;0;0;0;false;0;29;28;false;49;150;158
50030381;false;0;0;0;false;0;29;29;false;51;151;157
40294768;false;0;0;0;true;0;0;28;false;51;0;157
72074196;false;0;0;0;false;0;28;29;false;50;152;158
58080939;false;0;0;0;true;0;1;28;false;51;0;156
35786542;false;0;0;0;true;0;0;28;false;50;1;151
39192839;false;0;0;0;true;0;0;28;false;51;0;153
1977443;false;0;0;0;false;0;28;28;false;50;150;148
67815370;false;0;0;0;false;0;28;28;false;51;150;170
16270784;false;0;0;0;true;0;1;29;false;51;1;157
37195212;false;0;0;0;false;0;24;28;false;51;152;157
92873265;false;0;0;0;false;0;31;29;false;51;152;158
61429241;false;0;0;0;false;0;16;29;false;51;151;157
82992693;false;0;0;0;false;0;37;28;false;50;152;157
89962654;false;0;0;0;false;0;32;28;false;51;151;157
77411518;false;0;0;0;false;0;16;29;false;51;152;157
88338787;false;0;0;0;false;0;31;29;false;51;151;157
79566748;false;0;0;0;true;0;0;28;false;52;0;156
80657649;false;0;0;0;false;0;38;29;false;51;151;157
96568933;false;0;0;0;false;0;15;28;false;51;150;157
59465250;false;0;0;0;false;0;31;29;false;51;152;158
53841512;false;0;0;0;false;0;38;28;false;51;153;158
33412997;false;0;0;0;false;0;16;29;false;51;151;157
24880209;false;0;0;0;true;0;0;28;false;50;0;156
70731732;false;0;0;0;true;0;0;28;false;50;0;157
49088398;false;0;0;0;false;0;31;29;false;51;151;158
87369692;false;0;0;0;true;0;0;28;false;52;0;157
92819920;false;0;0;0;false;0;31;29;false;49;151;158
61060182;false;0;0;0;false;0;22;28;false;50;150;157
63204651;false;0;0;0;false;0;32;29;false;51;152;157
38824045;false;0;0;0;true;0;0;22;false;50;0;158
94338660;false;0;0;0;false;0;31;31;false;50;151;157
42373564;false;0;0;0;true;0;0;16;false;51;1;157
8128728;false;0;0;0;false;0;37;42;false;50;151;159
71969269;false;0;0;0;false;0;16;28;false;50;150;158
41753277;false;0;0;0;false;0;32;29;false;51;151;157
49386693;false;0;0;0;true;0;0;28;false;51;0;158
85137833;false;0;0;0;true;0;0;28;false;50;0;158
66079814;false;0;0;0;true;0;0;29;false;52;0;158
38570436;false;0;0;0;false;0;31;28;false;50;152;158
39185185;false;0;0;0;true;0;0;29;false;51;0;158
22731187;false;0;0;0;false;0;22;28;false;52;151;159
28128002;false;0;0;0;false;0;31;29;false;51;151;158
27232308;false;0;0;0;false;0;32;29;false;51;151;158
82494549;false;0;0;0;true;0;0;28;false;51;0;159
7482088;false;0;0;0;false;0;34;28;false;51;151;158
59895803;false;0;0;0;true;0;1;29;false;50;1;157
92714071;false;0;0;0;true;0;0;28;false;50;0;158
31696504;false;0;0;0;false;0;28;29;false;50;152;158
78892841;false;0;0;0;true;0;1;28;false;51;0;157
24760869;false;0;0;0;false;0;28;28;false;50;152;158
21766239;false;0;0;0;false;0;29;30;false;50;151;159
42662366;false;0;0;0;true;0;1;28;false;50;1;160
83115354;false;0;0;0;false;0;29;29;false;51;152;156
73092157;false;0;0;0;false;0;30;28;false;53;151;154
89955133;false;0;0;0;true;0;0;29;false;52;0;147
72104316;false;0;0;0;false;0;29;28;false;51;152;154
5692061;false;0;0;0;true;0;1;28;false;52;0;163
53069919;false;0;0;0;false;0;30;29;false;39;152;161
714973;false;0;0;0;true;0;0;28;false;65;0;158
25709627;false;0;0;0;true;0;0;28;false;42;0;157
30215314;false;0;0;0;true;0;1;28;false;47;0;156
31034107;false;0;0;0;false;0;29;29;false;54;150;157
88643451;false;0;0;0;true;0;1;28;false;63;1;155
25588906;false;0;0;0;false;0;29;28;false;44;151;158
75334746;false;0;0;0;false;0;31;29;false;56;153;157
50243664;false;0;0;0;false;0;29;29;false;36;151;157
82136502;false;0;0;0;true;0;1;28;false;64;0;158
17177756;false;0;0;0;false;0;29;28;false;37;150;157
59566492;false;0;0;0;true;0;0;29;false;46;0;159
95756906;false;0;0;0;false;0;30;28;false;54;152;160
13812652;false;0;0;0;false;0;29;25;false;67;150;157
39583131;false;0;0;0;false;0;31;31;false;34;152;158
77706134;false;0;0;0;true;0;1;16;false;65;0;157
66556394;false;0;0;0;false;0;28;31;false;50;151;158
44771823;false;0;0;0;false;0;28;22;false;49;152;157
47405209;false;0;0;0;true;0;1;32;false;50;1;159
63795282;false;0;0;0;false;0;27;31;false;51;151;158
27822255;false;0;0;0;true;0;1;35;false;51;0;157
89926811;false;0;0;0;false;0;28;18;false;51;153;158
81009309;false;0;0;0;true;0;0;31;false;50;0;157
45621657;false;0;0;0;false;0;29;32;false;54;153;157
48645480;false;0;0;0;false;0;28;22;false;51;150;159
62104104;false;0;0;0;false;0;28;31;false;51;151;157
13790384;false;0;0;0;false;0;28;31;false;51;151;159
69940244;false;0;0;0;false;0;28;33;false;50;152;157
83883875;false;0;0;0;false;0;28;21;false;51;150;158
10127191;false;0;0;0;true;0;0;31;false;52;0;158
55821338;false;0;0;0;false;0;28;31;false;51;151;155
63408490;false;0;0;0;true;0;1;22;false;51;1;159
10288642;false;0;0;0;false;0;15;32;false;52;151;157
99826462;false;0;0;0;false;0;31;31;false;52;150;154
21467233;false;0;0;0;false;0;31;16;false;51;151;158
78378170;false;0;0;0;false;0;35;37;false;49;151;158
15607700;false;0;0;0;true;0;1;16;false;50;0;157
16695955;false;0;0;0;true;0;0;31;false;50;0;159
24120748;false;0;0;0;false;0;18;39;false;49;152;157
17196798;false;0;0;0;false;0;31;29;false;50;151;157
62510219;false;0;0;0;false;0;31;28;false;50;153;157
44163732;false;0;0;0;false;0;22;29;false;51;151;158
33706979;false;0;0;0;true;0;0;28;false;52;0;158
19615843;false;0;0;0;true;0;0;29;false;53;0;159
13328526;false;0;0;0;true;0;0;28;false;52;0;157
31264834;false;0;0;0;false;0;32;29;false;51;151;158
25959646;false;0;0;0;false;0;31;29;false;51;151;143
47453314;false;0;0;0;false;0;16;28;false;51;152;164
65288208;false;0;0;0;false;0;41;29;false;51;150;164
44267150;false;0;0;0;true;0;0;28;false;51;0;159
32609189;false;0;0;0;false;0;27;29;false;51;153;157
44184359;false;0;0;0;true;0;1;28;false;51;0;158
11943468;false;0;0;0;false;0;28;29;false;57;154;157
48601511;false;0;0;0;true;0;0;28;false;51;0;157
80879486;false;0;0;0;false;0;28;28;false;47;151;158
67218117;false;0;0;0;true;0;0;29;false;53;1;157
63570376;false;0;0;0;false;0;28;28;false;47;151;159
34912829;false;0;0;0;false;0;28;29;false;53;151;157
49799423;false;0;0;0;false;0;29;28;false;47;153;158
