ID;Exist in 500k;Time in Array 500;Time in ListFirst 500;Time in list last 500;Exist in 1M;Time in Array 1M;Time in ListFirst 1M;Time in list last 1M;Exist in 3M;Time in Array 3M;Time in ListFirst 3M;Time in list last 3M 
83589118;false;0;0;0;false;0;0;0;false;0;0;0
85619640;false;0;0;0;false;0;0;0;false;0;0;0
19280931;false;0;0;0;false;0;0;0;false;0;0;0
14760065;false;0;0;0;false;0;0;0;false;0;0;0
24026363;false;0;0;0;false;0;0;0;false;0;0;0
44202902;false;0;0;0;false;0;0;0;false;0;0;0
85727410;false;0;0;0;false;0;0;0;false;0;0;0
48574468;false;0;0;0;false;0;0;0;false;0;0;0
15607700;false;0;0;0;false;0;0;0;false;0;0;0
3400992;false;0;0;0;false;0;0;0;false;0;0;0
47019334;false;0;0;0;false;0;0;0;false;0;0;0
99286081;false;0;0;0;false;0;0;0;false;0;0;0
88749675;false;0;0;0;false;0;0;0;false;0;0;0
68216912;false;0;0;0;false;0;0;0;false;0;0;0
21489694;false;0;0;0;false;0;0;0;false;0;0;0
34364145;false;0;0;0;false;0;0;0;false;0;0;0
59067889;false;0;0;0;false;0;0;0;false;0;0;0
81519942;false;0;0;0;false;0;0;0;false;0;0;0
22252188;false;0;0;0;false;0;0;0;false;0;0;0
57576586;false;0;0;0;false;0;0;0;false;0;0;0
71531691;false;0;0;0;false;0;0;0;false;0;0;0
24658253;false;0;0;0;false;0;0;0;false;0;0;0
11515444;false;0;0;0;false;0;0;0;false;0;0;0
68498661;false;0;0;0;false;0;0;0;false;0;0;0
74628559;false;0;0;0;false;0;0;0;false;0;0;0
43235625;false;0;0;0;false;0;0;0;false;0;0;0
65368875;false;0;0;0;false;0;0;0;false;0;0;0
58333944;false;0;0;0;false;0;0;0;false;0;0;0
19018930;false;0;0;0;false;0;0;0;false;0;0;0
29798316;false;0;0;0;false;0;0;0;false;0;0;0
23160624;false;0;0;0;false;0;0;0;false;0;0;0
15370302;false;0;0;0;false;0;0;0;false;0;0;0
90562270;false;0;0;0;false;0;0;0;false;0;0;0
69789022;false;0;0;0;false;0;0;0;false;0;0;0
36217711;false;0;0;0;false;0;0;0;false;0;0;0
61231683;false;0;0;0;false;0;0;0;false;0;0;0
51265949;false;0;0;0;false;0;0;0;false;0;0;0
61369143;false;0;0;0;false;0;0;0;false;0;0;0
46575194;false;0;0;0;false;0;0;0;false;0;0;0
64687223;false;0;0;0;false;0;0;0;false;0;0;0
13862393;false;0;0;0;false;0;0;0;false;0;0;0
86905009;false;0;0;0;false;0;0;0;false;0;0;0
42452584;false;0;0;0;false;0;0;0;false;0;0;0
23132370;false;0;0;0;false;0;0;0;false;0;0;0
15377787;false;0;0;0;false;0;0;0;false;0;0;0
49206143;false;0;0;0;false;0;0;0;false;0;0;0
34554600;false;0;0;0;false;0;0;0;false;0;0;0
27046452;false;0;0;0;false;0;0;0;false;0;0;0
83262152;false;0;0;0;false;0;0;0;false;0;0;0
84595813;false;0;0;0;false;0;0;0;false;0;0;0
65452590;false;0;0;0;false;0;0;0;false;0;0;0
21144467;false;0;0;0;false;0;0;0;false;0;0;0
20115210;false;0;0;0;false;0;0;0;false;0;0;0
67717336;false;0;0;0;false;0;0;0;false;0;0;0
84042557;false;0;0;0;false;0;0;0;false;0;0;0
53696157;false;0;0;0;false;0;0;0;false;0;0;0
24821814;false;0;0;0;false;0;0;0;false;0;0;0
24396372;false;0;0;0;false;0;0;0;false;0;0;0
58753091;false;0;0;0;false;0;0;0;false;0;0;0
26163849;false;0;0;0;false;0;0;0;false;0;0;0
68543244;false;0;0;0;false;0;0;0;false;0;0;0
